Verbo,Regolare,Significato,Präteritum,Participio passato,Perfetto,Caso,Riflessivo
sein,no,essere,war,gewesen,ist gewesen,-,no
haben,no,avere,hatte,gehabt,hat gehabt,Akkusativ,no
werden,no,diventare,wurde,geworden,ist geworden,Nominativ,no
können,no,potere,konnte,gekonnt,hat gekonnt,Akkusativ,no
müssen,no,dovere,musste,gemusst,hat gemusst,Akkusativ,no
sagen,sì,dire,sagte,gesagt,hat gesagt,Dativ + Akkusativ,no
machen,sì,fare,machte,gemacht,hat gemacht,Akkusativ,no
geben,no,dare,gab,gegeben,hat gegeben,Dativ + Akkusativ,no
kommen,no,venire,kam,gekommen,ist gekommen,-,no
sollen,no,dovere,sollte,gesollt,hat gesollt,Akkusativ,no
wollen,no,volere,wollte,gewollt,hat gewollt,Akkusativ,no
gehen,no,andare,ging,gegangen,ist gegangen,-,no
wissen,no,sapere,wusste,gewusst,hat gewusst,Akkusativ,no
sehen,no,vedere,sah,gesehen,hat gesehen,Akkusativ,no
lassen,no,lasciare,ließ,gelassen,hat gelassen,Akkusativ,no
stehen,no,stare in piedi,stand,gestanden,hat gestanden,-,no
finden,no,trovare,fand,gefunden,hat gefunden,Akkusativ,no
bleiben,no,rimanere,blieb,geblieben,ist geblieben,-,no
liegen,no,giacere,lag,gelegen,hat gelegen,-,no
heißen,no,chiamarsi,hieß,geheißen,hat geheißen,Nominativ,no
denken,no,pensare,dachte,gedacht,hat gedacht,Akkusativ,no
nehmen,no,prendere,nahm,genommen,hat genommen,Akkusativ,no
tun,no,fare,tat,getan,hat getan,Akkusativ,no
dürfen,no,potere (permesso),durfte,gedurft,hat gedurft,Akkusativ,no
glauben,sì,credere,glaubte,geglaubt,hat geglaubt,Dativ + Akkusativ,no
halten,no,tenere,hielt,gehalten,hat gehalten,Akkusativ,no
nennen,no,nominare,nannte,genannt,hat genannt,Akkusativ,no
mögen,no,piacere,mochte,gemocht,hat gemocht,Akkusativ,no
zeigen,sì,mostrare,zeigte,gezeigt,hat gezeigt,Dativ + Akkusativ,no
führen,sì,condurre,führte,geführt,hat geführt,Akkusativ,no
sprechen,no,parlare,sprach,gesprochen,hat gesprochen,Akkusativ,no
bringen,no,portare,brachte,gebracht,hat gebracht,Dativ + Akkusativ,no
leben,sì,vivere,lebte,gelebt,hat gelebt,-,no
